,公司名称,公司规模,城市,学历要求,工作经验,职位名称,职位描述,职位薪资
789,深信服科技,1000-9999人,深圳,本科,经验不限,市场数据分析专员,实习数据分析专员任职要求：1. 此职位招聘实习生，在校大三或研二学生为佳；2. 对数据敏感，能够胜任数据分析工作，逻辑清晰，对算法有一定了解；3. 掌握主要的数据分析工具软件使用，同时Excel技能熟练；3. 有数据分析类实习经验或者在校科研项目经验为佳；主要职责：1. 对市场数据进行分析，协助营销团队精准定位目标客户群体；2. 完成数字营销团队安排的其他工作。,3k-4k
790,活动行,20-99人,深圳,本科,3-5年,java高级数据分析师,工作职责 1.分析用户行为，对用户进行建模，设计合理的模型和算法 2.大数据相关项目研发 职位要求： 1.本科或以上学历，数据挖掘、机器学习、计算机、统计、数学等相关专业； 2.具备较丰富的基于Hadoop ／ mapreduce ／ Spark等大数据处理项目经验优先 3.在某一算法领域比如推荐、图像、NLP等具备很强的专业技能者优先,15k-30k
791,新浪普惠,100-499人,深圳,学历不限,3-5年,数据分析师,岗位职责1.	负责公司业务日常运营数据的监控，制作日报、周报和月报，提供专业的数据分析报告2.	负责挖掘数据的内在联系，发现业务运营与推广中的问题3.	通过数据分析工具，高效支持运营上的数据查询需求4.	为管理层决策提供数据支持任职要求1.	全日制本科及以上学历，计算机、统计、数学相关专业，2年以上数据分析经验2.	优秀的数据分析能力和逻辑思维能力，对数据敏感，能从数据中发现问题3.	熟练掌握数据分析工具，精通excel，熟练运用sql4.	具备很强的沟通能力，善于根据数据和用户反馈快速调整，推动产品不断改进5.	学习能力强、善于分析提炼总结，有良好的协调推动能力,10k-20k
792,乐易,100-499人,深圳,本科,1-3年,数据分析,,10k-20k
793,Shopee,1000-9999人,深圳,学历不限,3-5年,BI 资深数据分析师 - Senior Data Analyst,,10k-20k
794,霸菱投资,20-99人,深圳,学历不限,1年以内,数据分析专员,,5k-6k
795,维度统计咨询,100-499人,深圳,本科,1-3年,经普数据分析师,,9k-13k
796,珍爱网,1000-9999人,深圳,本科,3-5年,数据分析师,,10k-20k
797,智在咨询,0-20人,深圳,学历不限,经验不限,员工行为 EXCEL 数据分析,,5k-10k
798,八爪鱼大数据,20-99人,深圳,本科,3-5年,产品经理（数据分析）,,15k-30k
799,耀京科技,100-499人,深圳,大专,1-3年,数据分析师（增长黑客）,,15k-30k
800,深圳市首彩葡萄酒...,100-499人,深圳,本科,1-3年,数据分析师/数据挖掘,,10k-15k
801,华为,10000人以上,深圳,本科,3-5年,数据分析专家,,20k-40k
802,软通动力,10000人以上,深圳,本科,经验不限,数据分析师,,10k-20k
803,佰赢,1000-9999人,深圳,本科,1-3年,数据分析师,,7k-10k
804,前海数据,20-99人,深圳,本科,应届生,实习生（数据分析方向）,,2k-3k
805,中腾信,10000人以上,深圳,本科,经验不限,反欺诈数据分析师（征信业务方向）,,8k-15k
806,深圳刷宝科技有限公司,100-499人,深圳,本科,3-5年,风控数据分析师,,18k-30k
807,飞贷金融科技,100-499人,深圳,硕士,应届生,风控数据分析实习生,,5k-9k
808,恒信永利,1000-9999人,深圳,本科,1-3年,数据分析师,,8k-12k
809,泽宝,500-999人,深圳,本科,3-5年,资深数据分析师,,20k-40k
810,珍爱网,1000-9999人,深圳,本科,1-3年,数据分析师,,11k-16k
811,阿里巴巴集团,10000人以上,深圳,本科,5-10年,数据分析与运营专家,,30k-50k
812,海吉星马克,20-99人,深圳,本科,经验不限,市场数据分析顾问,,5k-9k
813,索信达,100-499人,深圳,本科,5-10年,数据分析师/数据挖掘师（高级）,,15k-30k
814,腾讯音乐,1000-9999人,深圳,硕士,经验不限,数据分析工程师（深圳）,,20k-40k
815,客路旅行,500-999人,深圳,本科,1-3年,数据分析师,,12k-20k
816,升学教育,1000-9999人,深圳,本科,经验不限,数据分析管理培训生,,5k-8k
817,腾讯,10000人以上,深圳,硕士,经验不限,腾讯社交广告数据分析师/data scientist,,20k-40k
818,深圳市首彩葡萄酒...,100-499人,深圳,本科,1-3年,大数据挖掘工程师/数据分析师,,8k-15k
819,软通动力,10000人以上,深圳,本科,3-5年,数据分析工程师,岗位要求：1. 通过数据挖掘，数据模型等方式，深入分析业务数据，提供数据分析报告，定位问题，提出解决方案。通过对业务指标的数据监测研究用户行为规律，寻找增长点，根据不同群体特征，进行精细化分析，建立分析模型分类标签，提高留存；2. 精通数据处理分析工具Excel和SQL，熟悉数据分析软件，了解数据挖掘基础算法，能够运用逻辑回归、决策树、随机森林、SVM等算法进行建模、预测；3. 有很好的数据敏感意识、逻辑分析思维，有较强的数据处理分析能力，能够独立完成数据分析报告和数据挖掘工作；4. 有责任心，适应能力、学习能力强，易于沟通，有团队合作精神。,12k-18k
820,崛龙万上,0-20人,深圳,本科,1-3年,风控数据分析师,风控数据分析师 岗位职责：1、熟悉金融行业的风控指标，对风控业务的业务数据表现进行监控，输出业务日常报表； 2、对接外部的风控数据源，并对数据源的效果进行分析，给出相应的建议； 3、将常规业务报表交由BI落实，并跟踪测试其效果； 4、日常的临时数据分析工作； 任职要求：1、 全日制本科及以上学历，经济、金融、数学、统计等相关专业优先； 2、1年以上金融行业（互联网金融、消费金融、现金贷）量化风险控制、数据分析工作经验； 3、熟悉sql、R、Python、SAS等至少一种语言并有持续学习的兴趣； 4、较强的分析能力和风险识别防范及控制能力； 5、具备良好的分析与解决问题的能力，能够简明扼要地展开有条理的逻辑辩论； 6、有审批经验的,15k-20k
821,腾讯,10000人以上,深圳,硕士,经验不限,23486-证券数据分析工程师,岗位职责：1.负责证券业务数据衍生指标开发和建设2.支持产品需求完成证券业务内数据分析和选股策略开发工作3.参与建设证券数据质量校验与监控体系岗位要求1.本科及以上学历，计算机、数学等相关专业，有3年及以上数据处理、分析相关经验2.参与过完整的数据采集、数据清洗整理、分析和开发工作3.熟练使用Python/Scala/SQL等语言，具有HIVE/Hadoop/Spark等大规模分布式计算平台使用经验；4.较强的数据敏感度，能结合产品团队的需求完成数据分析和开发5.良好的沟通能力和合作意识；具备高度的责任心，良好的结果导向和抗压能力6.具有storm/spark streaming等实时计算经验者优先；对金融业务熟悉者优先,30k-60k
822,巨航人力,0-20人,深圳,本科,3-5年,风控建模数据分析师,岗位职责：1、负责风险计量模型的设计与开发，包括申请评分模型、行为评分模型、催收评分模型、反欺诈模型等；2、负责模型验证及上线评估，根据验证结果评估上线可行性或提出模型调整方案；3、负责模型实施，包括系统部署、测试等，确保模型能够准确、有效运行；4、负责模型维护，监控模型的关键效能指标，评估模型效能以及拟定优化方案；5、负责与外部合作机构的联合模型开发。岗位要求：1、全日制本科及以上学历，统计学、应用数学、金融工程、计量经济学等相关专业；2、5年以上全职工作经验，3年以上消费信贷风险计量、模型开发相关工作经验；3、熟悉数据挖掘算法，如逻辑回归、DNN、GBDT等；4、工作认真、主动、负责，重视团队合作，有较强的沟通能力和逻辑分析能力；5、有信用卡中心、消费金融机构、互联网金融机构相关工作经验者优先。,15k-20k
823,vivo,10000人以上,深圳,本科,3-5年,数据分析经理,岗位职责:1.	熟练使用第三方广告数据监测系统（秒针，inforsis，艾瑞，击壤等），提取数据并制作报告；2.	整合多源数据，深度挖掘数据背后的价值，为媒介策略提供数据支撑；3.	对接处理媒介部门内部的定制化需求，提供相关数据支持；4.	参与大数据平台的搭建及业务逻辑的梳理；任职资格:1.	善于从数据中发现规律，有一定的总结概括能力，具备较强的沟通与表达能力；2.	良好的跨团队协作能力和项目管理能力，较强的组织协调及人际沟通能力，快速的学习能力； 3.	熟练使用办公软件，良好的数据可视化及PPT呈现能力； 4.	3年以上相关行业工作经验；,20k-40k
824,斯达领科,100-499人,深圳,本科,1-3年,数据分析专员,岗位职责：1、负责各站点后台销售数据提取；2、对各站点销售情况进行统计分析，对市场分布情况、重点商品结构、利润结构进行分析；3、进行数据监测、数据分析、总结规律，提出优化建议，异常数据解读挖掘，做实时异常提醒；4、负责制作各平台日、周、月度的销售分析报表，和多维度完成各渠道数据整理分析报表。任职要求：1、2年以上相关工作经验，本科以上学历，数学、统计学、计算机等相关专业。2.、熟悉一种常用的数据分析工具，如Tableau，SPSS，SAS，EXCEL等；3、熟练使用SQL，Python，R等分析工具；4、较强的数据分析能力，善于从海量数据中总结规律；敏锐的观察力，及时根据数据发现问题，有丰富的数据分析、挖掘、清洗和建模的经验；5、具有良好的文档编写能力，能依据数据分析结果编写专业的分析研究报告；6、具备良好的业务理解能力、逻辑思维和表达能力，善于交流，工作态度认真，积极主动，有责任感，有良好的团队精神。,8k-12k
825,华强方特,1000-9999人,深圳,硕士,经验不限,数据分析员,一、工作职责1、有独立完成用户研究项目的经验，能够建立系统的用户研究体系2、构建常规用户研究及专项用户研究数据库，可根据需求完成报告3、在以上基础上更进一步的完善用户研究系统，开发新的研究思路和方法4、竞品与行业内的市场调研分析与评估5、其他安排工作二、任职资格1、本科以上学历，统计学、应用数学、信息与计算科学、心理学、社会学等相关专业优先，相关专业研究生以上学历优先2、1 年以上用户研究的工作经验，旅游行业、电商、移动互联网行业经验优先3、熟练使用各类统计软件工具，具有丰富的主导或参与一定专业深度的定量研究及定性研究的项目实践经验；具备一定的统计分析能力，熟练使用EXCEL、SPSS、SAS、R 等统计分析工具、具备SQL 技能可进行相关数据挖掘者优先4、持有CDA、CPDA 等相关数据分析证书者优先5、较强的研究报告撰写能力和口头表达能力6、综合素养佳，良好的专业知识储备及数据思维、数据敏感性强、逻辑思维能力强，有创新精神，主动性、事业心和责任感强，诚实可信，抗压能力强,8k-15k
826,健康160,500-999人,深圳,本科,1-3年,产品经理（数据分析+电商方向）,岗位职责：1、分析解读产品数据制定产品改善策略，提高160商城进入量、转化率等指标；2、负责160商城相关产品，对负责的产品进行规划，并推动落地执行；3、能独立现场调研、收集反馈、处理需求、输出产品设计所需文档、跟进研发进度；岗位要求：1、理工类本科及以上学历，1-3年互联网产品工作经验。2、能结合数据发现问题，并提出产品调整方案，有1年以上产品数据持续跟踪分析的习惯及经验；3、了解O2O平台（如美团、携程等）商业模式，了解电商平台的运营和促销手段以及发展历程。4、有完整的电商平台促销与活动等工具产品的策划和执行经验；5、年龄35周岁及以下，具有良好的沟通表达能力、逻辑思维清晰，做事主动，有责任感，有团队协作精神。,12k-18k
827,华为技术有限公司,10000人以上,深圳,本科,5-10年,数据分析师,1.5年以上大数据平台项目经验，3年10人以上团队管理经验，能树立团队愿景，监控及指导日常工作。 2.具有较广的大数据技术栈，对流计算、批处理技术有较深入的研究，熟悉常用的大数据处理组件，例如：YARN、hdfs、spark、hive、hbase等。  3.精通数据采集、大数据ETL处理架构，精通数据仓库架构和建设  4.具有比较扎实的Java开发基础。 熟悉Linux。熟练使用Shell、Python脚本语言。 精通SQL，熟悉Oracle、MySQL数据库。  5.逻辑思维清晰，有较强的团队协作能力，踏实上进。 6.精通kafka、redis、spark、flink、elasticsearch、mongodb等实时系统处理中间件一种或者几种，具备相关项目开发设计经验； 7.熟悉tensorflow、Caffe等机器学习框架，有kubernetes、mesos等容器项目系统优先。英语精通（听说读写），能作为工作语言。精通关系数据库及SQL，对大数据处理相关工具Map/Reduce，Hadoop/Spark，Hive，Spark SQL，MangoDB等有相当的经验；有编程能力，熟悉Python/R/Scala/Matlab/SAS/C#/C++/Java中3门以上语言,30k-60k
828,货拉拉科技,1000-9999人,深圳,本科,3-5年,数据分析师,工作职责： 1、了解公司业务，建设数据指标埋点及评价体系，输出数据报告，并对异常波动进行分析；2、对接业务部门，提供数据统计、分析支持，提出数据建议；3、分析用户内容消费及行为路径偏好，探索用户行为模式，进行用户生命周期分析；4、对产品改动、运营策略和市场活动产生的影响进行深入的专题分析，并从中挖掘出可落地的insights；5、负责构建用户标签体系框架，对现有数据等进行分析，挖掘相关特征；6、针对行业需求，负责大数据产品的规划，需求分析和产品设计和定义；7、基于现有真实用户行为数据，能够从数据中发现物流的需求和业务场景；8、负责业务临时数据分析需求的调研、分析及实现；9、监测分析产品运营状况，持续优化产品功能改造和业务拓展方向，提出和落实产品优化改造方案。10、撰写专题大数据分析报告。 任职资格： 1、统计学，数学，计算机等专业硕士及以上学历，5年以上数据分析工作经验；2、扎实的数理统计理论知识，如描述性统计，推断性统计，多元统计分析等；3、熟悉数据挖掘理论与方法，如聚类分析，决策树，逻辑回归，关联规则等；4、熟练使用SQL语言进行各种复杂的数据处理和汇总统计分析；5、精通Excel（MS-MVP加分），主要包括数据透视表，函数，图表等；6、熟练使用SPSS，SAS，R，Python中的任一工具进行数据分析工作；7、逻辑思维能力强，表达条理清晰，善于用PPT写作。,25k-50k
829,吉屋科技,100-499人,深圳,本科,3-5年,数据分析师,岗位职责：1、根据业务及产品的需求，规划和设计数据指标体系，对运营数据跟踪分析，发现潜在的商业机会、风险或缺陷，对公司战略及产品决策提供数据支持；2、日常运营数据的接入、清洗和处理、中间表/宽表的建设和管理，统计报表的开发和维护；3、对运营数据进行建模和挖掘，应用于日常数据分析以及数据应用研发过程。4、向集团高层输出季报、年报等汇报材料、日常性分析报告等；5、对数据质量检核用统计学的方法给出规则依据任职要求：1、本科及以上学历，数学、统计及计算机相关专业，三年以上相关工作经验；2、具备较强的逻辑分析能力、学习能力及理解能力，熟悉数据建模知识、数据挖掘理论，掌握数据分析体系方法；,15k-30k
830,投哪网,1000-9999人,深圳,本科,5-10年,数据分析专家,工作职责：1、为公司领导提供所需的数据分析报告；2、对公司产品、数据源等进行每月监控和评估；3、与业务部门紧密对接收集需求，进行数据分析并提出决策建议；4、参与公司数据分析体系的规划和建设； 5、参与数据模型的建立，并对模型进行监控和优化；6、根据公司业务发展的需求，梳理市场上的数据产品，选择合适的供应商进行接洽；7、与业务部门协调，针对具体业务问题，参与研究影响客户借款风险度的潜在因素，进行数据分析验证并提出改善举措；8、与数据供应商进行价格谈判、合作协议审核、数据测试及效果分析；9、跟进数据供应商与技术部的数据接口对接，管理数据落地进程以及客户数据结构化存储于数据库系统，服务于业务发展需要；10、完成部门领导安排的其他工作11、培训和指导数据分析师任职资格：1、专业知识：统计学、数学、金融学等相关专业毕业，具有一定的数据分析经验与见解，对数据敏感，能快速理解业务，良好的逻辑分析、文字表达及沟通推进能力、做事主动性。2、专业技能：熟练操作Excel，有使用1种以上数据分析和挖掘工具（如SPSS/Clementine、SAS/EM、R等）的经验； 3、态度/特质：逻辑思维能力强、有耐心、细心、有责任感、沟通能力强、组织协调能力强4、相关经验：5年以上5、教育背景：硕士以上,30k-50k
831,腾讯,10000人以上,深圳,本科,3-5年,腾讯社交广告数据分析工程师,工作职责：负责针对特定的广告行业需求，基于大规模用户数据，对用户兴趣、偏好进行数据挖掘和分析；负责分析挖掘广告主感兴趣的人群，协助广告主在广点通系统中进行广告定向投放；负责通过数据分析追踪广告投放效果，推动特定广告行业的效果优化。工作要求：良好的统计分析基础，熟练掌握数据分析的体系流程与方法，较高的数据敏感性，熟悉常用的机器学习、数据挖掘算法；熟练掌握SQL，熟悉(Python/R)等语言及相关库包，熟悉 Hadoop || Spark 等分布式计算和存储平台；参与过完整的数据采集、清洗、数据整理、指标设计、数据分析和输出报告者优先；优秀的逻辑思维能力，沟通表达能力，方案输出与展示能力；善于沟通，工作积极主动，责任心强，具备良好的团队协作能力；有广告相关背景优先；,17k-34k
832,新融典,20-99人,深圳,本科,1-3年,数据分析师,岗位职责：1、配合高级数据工程师完成业务需求调研、数据分析、商业分析及数据挖掘建模等工作；2、学习研究数据挖掘模型，参与数据挖掘模型的构建、维护、部署和评估工作，并在一年后独立工作；3、根据数据工程师要求完成数据分析报告；4、参与并协助相关部门对目标区域进行调研，收集、整理、分析相关数据信息；5、建立相关的评价指标体系，制定公司投资标准；推动经营层对投资标准及目标区域的选择进行研讨和决策；6、编写年度、季度分析研究报告。 任职资格:1. 市场学、广告学、数学、统计本科及以上学历，硕士学历优先考虑；2. 、熟练使用各种办公软件，如excel 、ppt等，能独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，具备良好的商业敏感度和创新意识，快速识别商业问题和机会；3、具备大数据的处理能力，熟悉SAS、sql语句编写，熟练操作SAS EM工具；4、熟练SQL，具有良好的数据整理、分析和建模能力，对数据敏感，能够在纷乱、海量的数据中用独特的视角去总结发现规律，并建立相应模型，并通过后续跟进研究，验证模型的准确性；5、 能够独立完成高质量研究报告的撰写； 此岗位安排在平安银行上班。必须工作满18个月，公司会给予一年外企实习培训，一年后独立在银行总部上班，有机会转为银行正式员工。不能接受者请勿投。,6k-10k
833,海润天恒,20-99人,深圳,大专,1-3年,数据分析师,岗位职责1.负责跨境电商亚马逊平台产品的类目分析，市场调研和产品发掘2.利用公司大数据资源进行产品数据分析和调研3.了解产品的国际市场动态及需求数据分析4.做好产品的前期调查，了解产品特性，对产品进行数据建模分析，分析利润和市场前景。5. 跟踪和研究日常数据，及时改进产品的体验完善6. 负责供应链数据的统计分析岗位要求1. 统计学专业，对数据敏感，具备较好的数据收集，整理和分析能力2. 较强的逻辑分析能力和良好的判断力3. 具备一定的英语阅读能力，英语过大学四六级4. 为人诚实可靠、品行端正5. 有跨境电商产品开发经验优先6.有志于在国际贸易行业发展,6k-12k
834,傲基电子商务,1000-9999人,深圳,本科,经验不限,数据分析,工作职责1、负责整理税务数据，并进行数据分析；2、负责与合作伙伴日常沟通和关系维护工作；3、负责数据异常分析工作，并提供解决方案；4、对目标用户进行分析并总结规律，做好风控体系。任职资格1、理工科一年以上工作经验，统计学、数学、财会类专业优先考虑；2、有EXCEL表格、PPT制作技能优先；3、思维缜密，考虑周全、逻辑思维能力强；4、性格开朗，积极主动，工作认真负责。,5k-8k
835,易思网络,20-99人,深圳,本科,5-10年,数据分析师,"1、负责全国线下业务的策略分析及相关数据方向的规划及设计工作；2、独立推动业务埋点，通过数据通过数据模型，产出智能化的策略，推动业绩指标增长；3、通过数据分析识别问题，挖掘规律，建立策略评价体系，提出改善建议，推动策略优化。4、负责市场研究项目的数据统计分析；5、参与数据挖掘模型的设计和实现；6、利用自动化工具批量制作数据分析报告任职资格。 任职资格1、5年以上数据分析经验，具备专业的数据挖掘能力，熟练使用各种统计软件(Quantum, SPSS等)； 2、数学、计算机或统计学相关专业背景；3、有研究公司数据分析经历优先；4、有足够的市场洞察力；5、有较好的沟通能力，有较好的数据敏感性；6、工作认真踏实、有责任心；7、较强的沟通协调能力、自驱力和洞察能力，善于发现、总结问题；8、目标感强，具有强烈的进取心，高度的责任感和团队协作精神。",25k-30k
836,启瀛网络,100-499人,深圳,大专,1-3年,数据分析师（电商）,岗位职责：1、数据来源：能建立渠道获得行业数据信息，并保证其持续性，准确性和及时性。2、数据资产：根据企业业务需求，选择数据抽取、转换和分析工具，主导并实施数据管理策略和标准，实现数据质量管理的制度化，提高数据资产可视化和可靠性；3、数据使用：通过对数据的有效挖掘、处理、分析获得洞察力，对企业未来业务发展和运营提供战略性意见和建议，增加企业的业务收入，拉近与用户的距离，提升客户满意度、客户忠诚度和市场美誉度，赢得并扩大竞争优势；4、整合公司线上线下营销资源，整合用户营销和用户自媒体传播，配合电商团队完成整体营销计划；5、提高效率：降低合规成本，通过正确运用数据提高生产效率；任职要求：1、本科或以上学历，统计、数学、计算机信息工程等专业优先；2、两年以上互联网行业数据管理经验。3、掌握较全面的专业知识，包括但不限于数据知识、数据分析工具知识、财务统计管理知识以及企业管理知识；4、完整参与过大型企业的数据体系建立全过程；5、具有优秀的团队管理经验及强大的沟通表达能力，可以承受较强的工作压力，有较强的创造力、拓展力及组织协调力。工作地址龙华新区上油松村油联路11-12号德宝大厦6楼,8k-15k
837,小赢理财,500-999人,深圳,本科,5-10年,数据分析师,主要职责：1、深入理解业务，建立完善的数据分析体系与指标监控体系2、对接业务方数据分析需求，输出对应的报表、专题分析报告及数据分析结论3、结合互金业务场景，建立用户全生命周期的数据分析模型，并与数据产品一起固化落地4、通过数据分析洞察业务规律，监测产品运营状况，提出和推进落实改造方案任职要求：1、本科及以上学历，5年以上数据分析相关工作经验，统计学、数学等相关专业优先2、熟练使用sql、Python、R、SPSS等常用数据统计分析工具3、熟悉常用的excel、ppt等办公软件，了解大数据相关技术，如hive、spark等4、熟悉数据挖掘理论与方法，包括但不限于聚类分析、决策树、逻辑回归等5、能独立完成从数据提取、处理、分析到报告产出整个分析流程工作6、具备优秀的需求分解能力及跨部门沟通协调能力,20k-35k
838,vivo,10000人以上,深圳,本科,3-5年,数据分析师,职责要求：1、负责所需数据的清洗、提取、分析以及报表开发；2、针对业务问题，给出分析思路，并将思路落地，给出明确的结论。任职要求：1、统招本科3年以上，计算机或者统计、数学相关专业；2、熟悉hive-sql、python等一门语言，能利用工具、语言熟练解决分析问题；3、了解lr、决策树等机器学习算法；4、对数据比较敏感，有金融风控、广告流量反作弊等业务安全分析经验的优先。,15k-25k
839,OPPO,10000人以上,深圳,本科,1-3年,风控数据分析师,岗位职责： 1.熟悉消费金融业务，能独立开发风险监控的MIS报表；2. 对风控业务进行专题性的数据分析，支持政策的决策制定；3. 对第三方征信数据进行数据验证及对接。岗位要求: 1. 全日制大学本科及以上学历，金融、数学、统计、计算机等相关专业； 2. 2年以上数据清洗、分析、报表制作经验，有扎实的数学、统计学基础； 3. 熟悉使用R、Python、SQL中的一种工具；,15k-25k
840,iPIN,100-499人,深圳,硕士,1-3年,数据分析师,"职位诱惑：AI风口行业 晋升机会大 团队大牛多岗位职责：基于海量数据进行统计分析，建立预测模型。我们希望你来到这能掌握的:Python: Pandas, Numpy, Scipy, Flask, Pytorch, Tensorflow;Hadoop cluster, Spark MLib, Hive SQL;MongoDB, Redis, HBase;Cuda C Programming.我们希望你能知道：1.The difference between Type I error and Type II error and clarify the measurement of Type II error.2.What is the General Linear Model and the connection between GLM and Neural Network.3.How to overcome the issue of over-fitting?4.A general description about recommend system.5.The application of L1-Norm and L2-Norm in datamining or statistic learning.任职资格：1、拥有快速学习能力，通过CET-6，参加过TOEFL\IETLS\GRE\GMAT考试 2、硕士及以上学历，统计学、应用数学、计量经济学专业优先；3、1-3年数据分析工作经验；4、熟悉Python、R、SQL；5、掌握线性代数，概率论，统计学原理；学习过多元线性回归、线性统计模型（Stochastic Process、Dynamic System prefered）；6、良好的逻辑思维能力，能够从海量数据中发现有价值的规律；7、优秀的分析和解决问题的能力，对挑战性问题充满激情；8、良好的团队合作精神，较强的沟通能力你将在这样的地方工作：【快速成长的创业公司】已获得累计上亿人民币融资，产品在细分领域行业遥遥领先。【世界级创新项目】创建了全球首个Economic Graph，并研发出史上首个基于上亿人成长经验的AI Career Advisor。【小而精的团队】团队有教授级海归博士，美股上市互联网公司总监，神级程序员，多名AI博士和硕士大牛【家一样的工作氛围】没有办公室政治，没有上下班打卡，你就是产品的父母 我们为新成员提供：和神一样的战友一起颠覆行业的机会（不仅是工作，而且是一份事业）绝对舒适的薪水（虽然我们是创业公司，但我们不耍流氓）绝对慷慨的期权（大约可以让你在40岁前过上退休生活）独挡一面的机会（来了你就是老大）无限量供应的零食饮料和水果、免费提供午晚餐、每月一天全薪病假、团建经费等，每月人均价值1200元包吃还有每年外出旅游机会国内国外都木有问题",15k-30k
841,第一卫,500-999人,深圳,大专,1-3年,python数据分析,岗位职责：1、负责行业数据采集（天猫、京东、亚马逊等），建立行业信息数据库；                                                                    2、对电商平台进行数据采集、分析，提出优化建议；3、负责制作电商平台日、周、月度的销售分析报表，多维度完成各渠道数据报表；4、从数据角度对产品设计、用户体验和业务发展提出建设性的意见，支持部门相关流程优化。任职要求：1、熟练使用Python、EXCEL、SPSS、Tableau等工具软件；2、拥有2年以上电商数据爬虫、分析经验，熟悉京东、天猫等主流平台的运营模式，能够从海量数据中筛选有价值的信息；3、数据敏感度高、商业敏感度高，有清晰的逻辑思维和良好的沟通能力；4、大专或以上学历，数学、统计学、电子商务、计算机相关专业优先。,8k-12k
842,广州瀚信,500-999人,深圳,本科,1-3年,数据分析师,【工作职责】1、负责运营商营销运营支撑项目的数据分析工作； 2、提供周报、月报或专题分析报告； 3、深入分析用户行为，为运营推广决策提供支撑； 4、营销活动监控分析，提出合理建议，促进产品和运营改进【岗位要求】1、大学计算机科学与技术、统计学相关专业本科以上学历，2年以上运营商行业同类项目经验；2、熟悉移动的数据以及营销的体系，能根据现状提供建议3、较强的数据处理和分析能力，对数据敏感，熟悉各类数据统计分析方法；熟悉SQL结构化查询语句；精通SAS SPSS等数据挖掘工具；4、具备独立的数据建模技能，如构建逻辑回归模型、决策树模型等，具备对海量业务数据进行分析的能力，精通聚类分析、回归分析、相关分析等算法模型。5、具备文档报告撰写能力，思路清晰，条理清楚，熟练使用PPT、EXCEL、WORD等。,9k-12k
843,我来贷WeLab,500-999人,深圳,本科,1-3年,风控数据分析,工作职责：1、负责业务数据的提取、处理、分析，撰写分析报告；2、负责业务报表和风险预警体系的开发与维护；3、负责外部数据的测试、策略使用分析；4、负责和风险有关的相关财务数据的测算；5、负责评分模型的监控与跟踪。任职资格：1、本科及以上学历，统计学、数学等相关专业；2、一年以上数据分析相关工作经验；3、熟练使用SQL、Excel、SAS或其他分析软件；4、工作严谨认真，有一定的抗压能力。,10k-20k
844,文思海辉,10000人以上,深圳,大专,1-3年,数据分析,岗位职责：1、数据标注：对文字、语料、图片、数据各种内容进行文本标注和筛选、分析2、梳理各项分类、标签定义，探索新分类、标签；3、对搜索结果进行评测，为相关策略提供依据；4、充分理解数据标注的背景和标准，较为精确地完成务，为相关策略的制定提供依据； 岗位要求：1、熟练使用office办公软件，有其他计算机技能的优先；2、具有敏锐的观察、分析和判断能力，有责任心和敬业精神，能有效按时完成任务； 3、具有一定的编程基础，了解python或者其它脚步语言的使用；4、做事认真负责，性格开朗,8k-12k
845,房多多,1000-9999人,深圳,本科,1-3年,数据分析,岗位职责：1、负责商户运营的数据分析，支撑运营；2、负责业务指标的建立和梳理，形成业务指标监控体系岗位要求：1、本科以上计算机、统计学、数学等相关专业，2年以上相关工作经验；2、熟练掌握SQL及其他计算机语言，以MySQL数据库为主；3、有在O2O类互联网公司数据分析或BI经验者优先；4、有Tableau、FineReport等数据分析工具经验者优先；5、熟悉R、Python等数据分析语言者优先；6、能快速理解业务流程，通过数据反应业务问题；7、能深入思考，并对数据进行多维度分析和挖掘；8、理解基本的数据指标定义原则和多维度分析方法论；9、热爱数据分析工作,15k-30k
846,长田优品全球购生活馆,100-499人,深圳,大专,经验不限,商品数据分析员,职位描述：1、负责用户行为、门店业务数据等分析，在商品和运营两个方向上提供数据分析服务，并根据数据分析结果提出业务策略建议;2、协助商品结构规划，统计分析畅销商品销售排名，预测商品销售趋势，确定商品供应需求，下达商品订货/补货、货期计划、货期安排和跟进。　　3、根据销售数据和库存数据进行分析，控制及优化库存结构，合理调配公司商品资源；4、负责每季商品销售及库存分析，拟定库存消化计划，完成***的库存控制。　　5、收集市场行业爆品动向，了解行业相关品牌的市场信息，掌握市场需求及流行趋势，制定并优化商品以及定价策略。　　岗位要求：1、大专及以以上学历，男女不限，有责任心、具备清晰的数据化思路，能够将想法快速落地，并追求结果；2、有进口产品美妆、护肤数据商品分析经验、有算法或数据挖掘经验、有进口化妆品行业工作经验优先录用；3、熟练掌握数据分析、使用和总结能力，能够进行常规经营数据分析，善于通过数据发现问题或机会；,4k-6k
847,信用之家,100-499人,深圳,本科,1-3年,数据分析建模主管（深圳）,"数据分析建模主管岗位职责：1、利用大量数据和外部数据针对客户信用建立风险评级模型，评估客户的潜在信用风险；2、通过针对客户的行为模式分析，对违约预测和准确市场销售提供支持；                            3、带领团队建立风险追踪报告体系，每日从大量数据中抽取风险特征、动态，及时调整风险策略。任职资格：1、本科以上学历；                                                 2、1-3年数据分析、挖掘、建模领域相关工作经验；                                                3、精通Spss，SAS、R等统计分析软件, 熟悉数据库；                                                          4、具有深厚的统计学、数据挖掘知识，参与过比较完整的数据采集、整理、分析和建模工作；5、对SQL SERVER或ORACLE数据库体系结构有一定理解和认识 。",15k-30k
